window_id,timestamp,symbol,visual_regime,regime_type,volatility,trend_strength,high,low,close,volume,is_correct
2314,1778084100,NQM6.CME@RITHMIC,TREND_DOWN,UPTREND,0.000274,0.0063,28596.75,28591.25,28595.75,500,False
2315,1778084160,NQM6.CME@RITHMIC,BALANCE,UPTREND,0.000295,0.0055,28597.50,28583.00,28584.25,767,False
2316,1778084220,NQM6.CME@RITHMIC,TREND_DOWN,UPTREND,0.000299,0.0046,28587.00,28579.50,28584.00,1022,False
2317,1778084280,NQM6.CME@RITHMIC,BALANCE,UPTREND,0.000310,0.0032,28589.50,28578.25,28583.50,663,False
2318,1778084340,NQM6.CME@RITHMIC,TREND_DOWN,RANGE,0.000333,0.0012,28585.00,28569.25,28571.25,710,True
2319,1778084400,NQM6.CME@RITHMIC,TREND_DOWN,DOWNTREND,0.000344,0.0008,28578.75,28566.00,28570.50,798,False
2320,1778084460,NQM6.CME@RITHMIC,BALANCE,DOWNTREND,0.000345,0.0015,28576.00,28568.50,28576.00,433,False
2321,1778084520,NQM6.CME@RITHMIC,TREND_UP,DOWNTREND,0.000337,0.0020,28580.75,28574.75,28579.00,416,False
2322,1778084580,NQM6.CME@RITHMIC,TREND_DOWN,DOWNTREND,0.000335,0.0025,28579.75,28573.75,28575.00,407,False
2323,1778084640,NQM6.CME@RITHMIC,BALANCE,DOWNTREND,0.000313,0.0022,28580.00,28571.75,28576.00,543,False
2324,1778084700,NQM6.CME@RITHMIC,TREND_UP,DOWNTREND,0.000320,0.0014,28587.00,28575.50,28584.75,680,False
2325,1778084760,NQM6.CME@RITHMIC,BALANCE,RANGE,0.000322,0.0012,28586.00,28579.50,28581.25,304,True
2326,1778084820,NQM6.CME@RITHMIC,TREND_DOWN,RANGE,0.000314,0.0011,28582.00,28575.50,28580.00,319,True
2327,1778084880,NQM6.CME@RITHMIC,BALANCE,RANGE,0.000327,0.0013,28582.50,28571.00,28572.25,375,True
2328,1778084940,NQM6.CME@RITHMIC,TREND_DOWN,RANGE,0.000327,0.0015,28576.00,28570.50,28574.00,361,True
2329,1778085000,NQM6.CME@RITHMIC,TREND_UP,DOWNTREND,0.000311,0.0020,28579.25,28571.25,28574.75,478,False
2330,1778085060,NQM6.CME@RITHMIC,BALANCE,DOWNTREND,0.000312,0.0020,28579.00,28571.25,28576.50,382,False
2331,1778085120,NQM6.CME@RITHMIC,TREND_UP,DOWNTREND,0.000299,0.0020,28579.75,28573.75,28577.25,298,False
2332,1778085180,NQM6.CME@RITHMIC,TREND_DOWN,DOWNTREND,0.000278,0.0014,28577.25,28569.75,28573.25,285,False
2333,1778085240,NQM6.CME@RITHMIC,TREND_DOWN,DOWNTREND,0.000269,0.0012,28576.75,28567.75,28570.75,478,False
2334,1778085300,NQM6.CME@RITHMIC,TREND_DOWN,DOWNTREND,0.000284,0.0017,28571.75,28558.00,28559.00,650,False
2335,1778085360,NQM6.CME@RITHMIC,TREND_DOWN,DOWNTREND,0.000293,0.0023,28562.50,28553.00,28561.75,1113,False
2336,1778085420,NQM6.CME@RITHMIC,TREND_UP,DOWNTREND,0.000299,0.0030,28568.75,28560.50,28562.75,537,False
2337,1778085480,NQM6.CME@RITHMIC,BALANCE,DOWNTREND,0.000299,0.0030,28568.75,28560.50,28568.50,371,False
2338,1778085540,NQM6.CME@RITHMIC,TREND_UP,DOWNTREND,0.000291,0.0028,28576.00,28567.75,28574.25,465,False
2339,1778085600,NQM6.CME@RITHMIC,TREND_UP,DOWNTREND,0.000297,0.0020,28577.00,28568.00,28571.50,433,False
